"vehicle_type","state_abb","year_of_manufacture","no_vehicles"
"Light rigid trucks","Qld","1963",3
"Light rigid trucks","Qld","1964",8
"Light rigid trucks","Qld","1965",13
"Light rigid trucks","Qld","1966",11
"Light rigid trucks","Qld","1967",11
"Light rigid trucks","Qld","1968",15
"Light rigid trucks","Qld","1969",10
"Light rigid trucks","Qld","1970",19
"Light rigid trucks","Qld","1971",29
"Light rigid trucks","Qld","1972",23
"Light rigid trucks","Qld","1973",21
"Light rigid trucks","Qld","1974",48
"Light rigid trucks","Qld","1975",35
"Light rigid trucks","Qld","1976",51
"Light rigid trucks","Qld","1977",44
"Light rigid trucks","Qld","1978",57
"Light rigid trucks","Qld","1979",41
"Light rigid trucks","Qld","1980",43
"Light rigid trucks","Qld","1981",43
"Light rigid trucks","Qld","1982",57
"Light rigid trucks","Qld","1983",37
"Light rigid trucks","Qld","1984",63
"Light rigid trucks","Qld","1985",128
"Light rigid trucks","Qld","1986",86
"Light rigid trucks","Qld","1987",142
"Light rigid trucks","Qld","1988",239
"Light rigid trucks","Qld","1989",212
"Light rigid trucks","Qld","1990",203
"Light rigid trucks","Qld","1991",159
"Light rigid trucks","Qld","1992",242
"Light rigid trucks","Qld","1993",240
"Light rigid trucks","Qld","1994",338
"Light rigid trucks","Qld","1995",314
"Light rigid trucks","Qld","1996",270
"Light rigid trucks","Qld","1997",368
"Light rigid trucks","Qld","1998",446
"Light rigid trucks","Qld","1999",573
"Light rigid trucks","Qld","2000",601
"Light rigid trucks","Qld","2001",743
"Light rigid trucks","Qld","2002",1282
"Light rigid trucks","Qld","2003",883
"Light rigid trucks","Qld","2004",1409
"Light rigid trucks","Qld","2005",1650
"Light rigid trucks","Qld","2006",1388
"Light rigid trucks","Qld","2007",1733
"Light rigid trucks","Qld","2008",1554
"Light rigid trucks","Qld","2009",1237
"Light rigid trucks","Qld","2010",1525
"Light rigid trucks","Qld","2011",1025
"Light rigid trucks","Qld","2012",1230
"Light rigid trucks","Qld","2013",1327
"Light rigid trucks","Qld","2014",1569
"Light rigid trucks","Qld","2015",1974
"Light rigid trucks","Qld","2016",2081
"Light rigid trucks","Qld","2017",2411
"Light rigid trucks","Qld","2018",2773
"Light rigid trucks","Qld","2019",2031
"Light rigid trucks","Qld","2020",2475
"Light rigid trucks","Qld","2021",4193
"Light rigid trucks","Qld","2022",6961
"Light rigid trucks","Qld","2023",9103
"Light rigid trucks","Qld","2024",5658
"Light rigid trucks","Qld","2025",34
"Light rigid trucks","Qld","Not stated",0
"Light rigid trucks","SA","1901",0
"Light rigid trucks","SA","1902",0
"Light rigid trucks","SA","1903",0
"Light rigid trucks","SA","1904",0
"Light rigid trucks","SA","1905",0
"Light rigid trucks","SA","1906",0
"Light rigid trucks","SA","1907",0
"Light rigid trucks","SA","1908",0
"Light rigid trucks","SA","1909",0
"Light rigid trucks","SA","1910",0
"Light rigid trucks","SA","1911",0
"Light rigid trucks","SA","1912",0
"Light rigid trucks","SA","1913",0
"Light rigid trucks","SA","1914",0
"Light rigid trucks","SA","1915",0
"Light rigid trucks","SA","1916",0
"Light rigid trucks","SA","1917",0
"Light rigid trucks","SA","1918",0
"Light rigid trucks","SA","1919",0
"Light rigid trucks","SA","1920",0
"Light rigid trucks","SA","1921",0
"Light rigid trucks","SA","1922",0
"Light rigid trucks","SA","1923",0
"Light rigid trucks","SA","1924",0
"Light rigid trucks","SA","1925",0
"Light rigid trucks","SA","1926",0
"Light rigid trucks","SA","1927",0
"Light rigid trucks","SA","1928",0
"Light rigid trucks","SA","1929",0
"Light rigid trucks","SA","1930",0
"Light rigid trucks","SA","1931",0
"Light rigid trucks","SA","1932",0
"Light rigid trucks","SA","1933",0
"Light rigid trucks","SA","1934",0
"Light rigid trucks","SA","1935",0
"Light rigid trucks","SA","1936",0
"Light rigid trucks","SA","1937",0
"Light rigid trucks","SA","1938",0
"Light rigid trucks","SA","1939",3
"Light rigid trucks","SA","1940",0
"Light rigid trucks","SA","1941",0
"Light rigid trucks","SA","1942",3
"Light rigid trucks","SA","1943",0
"Light rigid trucks","SA","1944",3
"Light rigid trucks","SA","1945",0
"Light rigid trucks","SA","1946",0
"Light rigid trucks","SA","1947",0
"Light rigid trucks","SA","1948",0
"Light rigid trucks","SA","1949",0
"Light rigid trucks","SA","1950",3
"Light rigid trucks","SA","1951",0
"Light rigid trucks","SA","1952",0
"Light rigid trucks","SA","1953",3
"Light rigid trucks","SA","1954",0
"Light rigid trucks","SA","1955",0
"Light rigid trucks","SA","1956",3
"Light rigid trucks","SA","1957",0
"Light rigid trucks","SA","1958",3
"Light rigid trucks","SA","1959",3
"Light rigid trucks","SA","1960",0
"Light rigid trucks","SA","1961",0
"Light rigid trucks","SA","1962",0
"Light rigid trucks","SA","1963",0
"Light rigid trucks","SA","1964",0
"Light rigid trucks","SA","1965",3
"Light rigid trucks","SA","1966",4
"Light rigid trucks","SA","1967",3
"Light rigid trucks","SA","1968",0
"Light rigid trucks","SA","1969",6
"Light rigid trucks","SA","1970",5
"Light rigid trucks","SA","1971",3
"Light rigid trucks","SA","1972",6
"Light rigid trucks","SA","1973",3
"Light rigid trucks","SA","1974",5
"Light rigid trucks","SA","1975",8
"Light rigid trucks","SA","1976",15
"Light rigid trucks","SA","1977",12
"Light rigid trucks","SA","1978",6
"Light rigid trucks","SA","1979",6
"Light rigid trucks","SA","1980",5
"Light rigid trucks","SA","1981",7
"Light rigid trucks","SA","1982",5
"Light rigid trucks","SA","1983",14
"Light rigid trucks","SA","1984",18
"Light rigid trucks","SA","1985",27
"Light rigid trucks","SA","1986",41
"Light rigid trucks","SA","1987",38
"Light rigid trucks","SA","1988",68
"Light rigid trucks","SA","1989",61
"Light rigid trucks","SA","1990",69
"Light rigid trucks","SA","1991",35
"Light rigid trucks","SA","1992",46
"Light rigid trucks","SA","1993",28
"Light rigid trucks","SA","1994",47
"Light rigid trucks","SA","1995",54
"Light rigid trucks","SA","1996",56
"Light rigid trucks","SA","1997",74
"Light rigid trucks","SA","1998",85
"Light rigid trucks","SA","1999",92
"Light rigid trucks","SA","2000",119
"Light rigid trucks","SA","2001",131
"Light rigid trucks","SA","2002",233
"Light rigid trucks","SA","2003",174
"Light rigid trucks","SA","2004",344
"Light rigid trucks","SA","2005",418
"Light rigid trucks","SA","2006",336
"Light rigid trucks","SA","2007",369
"Light rigid trucks","SA","2008",427
"Light rigid trucks","SA","2009",296
"Light rigid trucks","SA","2010",442
"Light rigid trucks","SA","2011",281
"Light rigid trucks","SA","2012",335
"Light rigid trucks","SA","2013",329
"Light rigid trucks","SA","2014",481
"Light rigid trucks","SA","2015",537
"Light rigid trucks","SA","2016",552
"Light rigid trucks","SA","2017",633
"Light rigid trucks","SA","2018",759
"Light rigid trucks","SA","2019",629
"Light rigid trucks","SA","2020",642
"Light rigid trucks","SA","2021",1087
"Light rigid trucks","SA","2022",1531
"Light rigid trucks","SA","2023",2142
"Light rigid trucks","SA","2024",1257
"Light rigid trucks","SA","2025",7
"Light rigid trucks","SA","Not stated",0
"Light rigid trucks","WA","1901",0
"Light rigid trucks","WA","1902",0
"Light rigid trucks","WA","1903",0
"Light rigid trucks","WA","1904",0
"Light rigid trucks","WA","1905",0
"Light rigid trucks","WA","1906",0
"Light rigid trucks","WA","1907",0
"Light rigid trucks","WA","1908",0
"Light rigid trucks","WA","1909",0
"Light rigid trucks","WA","1910",0
"Light rigid trucks","WA","1911",0
"Light rigid trucks","WA","1912",0
"Light rigid trucks","WA","1913",0
"Light rigid trucks","WA","1914",0
"Light rigid trucks","WA","1915",0
"Light rigid trucks","WA","1916",0
"Light rigid trucks","WA","1917",0
"Light rigid trucks","WA","1918",0
"Light rigid trucks","WA","1919",0
"Light rigid trucks","WA","1920",0
"Light rigid trucks","WA","1921",0
"Light rigid trucks","WA","1922",0
"Light rigid trucks","WA","1923",0
"Light rigid trucks","WA","1924",0
"Light rigid trucks","WA","1925",0
"Light rigid trucks","WA","1926",0
"Light rigid trucks","WA","1927",0
"Light rigid trucks","WA","1928",0
"Light rigid trucks","WA","1929",0
"Light rigid trucks","WA","1930",0
"Light rigid trucks","WA","1931",0
"Light rigid trucks","WA","1932",0
"Light rigid trucks","WA","1933",0
"Light rigid trucks","WA","1934",0
"Light rigid trucks","WA","1935",0
"Light rigid trucks","WA","1936",0
"Light rigid trucks","WA","1937",0
"Light rigid trucks","WA","1938",0
"Light rigid trucks","WA","1939",0
"Light rigid trucks","WA","1940",0
"Light rigid trucks","WA","1941",0
"Light rigid trucks","WA","1942",0
"Light rigid trucks","WA","1943",0
"Light rigid trucks","WA","1944",0
"Light rigid trucks","WA","1945",0
"Light rigid trucks","WA","1946",0
"Light rigid trucks","WA","1947",0
"Light rigid trucks","WA","1948",0
"Light rigid trucks","WA","1949",0
"Light rigid trucks","WA","1950",0
"Light rigid trucks","WA","1951",0
"Light rigid trucks","WA","1952",3
"Light rigid trucks","WA","1953",0
"Light rigid trucks","WA","1954",0
"Light rigid trucks","WA","1955",0
"Light rigid trucks","WA","1956",0
"Light rigid trucks","WA","1957",0
"Light rigid trucks","WA","1958",0
"Light rigid trucks","WA","1959",0
"Light rigid trucks","WA","1960",0
"Light rigid trucks","WA","1961",0
"Light rigid trucks","WA","1962",0
"Light rigid trucks","WA","1963",0
"Light rigid trucks","WA","1964",0
"Light rigid trucks","WA","1965",0
"Light rigid trucks","WA","1966",0
"Light rigid trucks","WA","1967",3
"Light rigid trucks","WA","1968",3
"Light rigid trucks","WA","1969",0
"Light rigid trucks","WA","1970",0
"Light rigid trucks","WA","1971",0
"Light rigid trucks","WA","1972",0
"Light rigid trucks","WA","1973",0
"Light rigid trucks","WA","1974",0
"Light rigid trucks","WA","1975",0
"Light rigid trucks","WA","1976",7
"Light rigid trucks","WA","1977",11
"Light rigid trucks","WA","1978",4
"Light rigid trucks","WA","1979",10
"Light rigid trucks","WA","1980",5
"Light rigid trucks","WA","1981",7
"Light rigid trucks","WA","1982",10
"Light rigid trucks","WA","1983",7
"Light rigid trucks","WA","1984",18
"Light rigid trucks","WA","1985",27
"Light rigid trucks","WA","1986",27
"Light rigid trucks","WA","1987",46
"Light rigid trucks","WA","1988",63
"Light rigid trucks","WA","1989",90
"Light rigid trucks","WA","1990",85
"Light rigid trucks","WA","1991",58
"Light rigid trucks","WA","1992",63
"Light rigid trucks","WA","1993",61
"Light rigid trucks","WA","1994",92
"Light rigid trucks","WA","1995",113
"Light rigid trucks","WA","1996",137
"Light rigid trucks","WA","1997",131
"Light rigid trucks","WA","1998",119
"Light rigid trucks","WA","1999",166
"Light rigid trucks","WA","2000",149
"Light rigid trucks","WA","2001",192
"Light rigid trucks","WA","2002",572
"Light rigid trucks","WA","2003",345
"Light rigid trucks","WA","2004",705
"Light rigid trucks","WA","2005",872
"Light rigid trucks","WA","2006",636
"Light rigid trucks","WA","2007",678
"Light rigid trucks","WA","2008",774
"Light rigid trucks","WA","2009",470
"Light rigid trucks","WA","2010",862
"Light rigid trucks","WA","2011",524
"Light rigid trucks","WA","2012",730
"Light rigid trucks","WA","2013",732
"Light rigid trucks","WA","2014",866
"Light rigid trucks","WA","2015",850
"Light rigid trucks","WA","2016",855
"Light rigid trucks","WA","2017",967
"Light rigid trucks","WA","2018",929
"Light rigid trucks","WA","2019",956
"Light rigid trucks","WA","2020",927
"Light rigid trucks","WA","2021",1785
"Light rigid trucks","WA","2022",3022
"Light rigid trucks","WA","2023",4867
"Light rigid trucks","WA","2024",3310
"Light rigid trucks","WA","2025",16
"Light rigid trucks","WA","Not stated",0
"Light rigid trucks","Tas","1901",0
"Light rigid trucks","Tas","1902",0
"Light rigid trucks","Tas","1903",0
"Light rigid trucks","Tas","1904",0
"Light rigid trucks","Tas","1905",0
"Light rigid trucks","Tas","1906",0
"Light rigid trucks","Tas","1907",0
"Light rigid trucks","Tas","1908",0
"Light rigid trucks","Tas","1909",0
"Light rigid trucks","Tas","1910",0
"Light rigid trucks","Tas","1911",0
"Light rigid trucks","Tas","1912",0
"Light rigid trucks","Tas","1913",0
"Light rigid trucks","Tas","1914",0
"Light rigid trucks","Tas","1915",0
"Light rigid trucks","Tas","1916",0
"Light rigid trucks","Tas","1917",0
"Light rigid trucks","Tas","1918",0
"Light rigid trucks","Tas","1919",0
"Light rigid trucks","Tas","1920",0
"Light rigid trucks","Tas","1921",0
"Light rigid trucks","Tas","1922",0
"Light rigid trucks","Tas","1923",0
"Light rigid trucks","Tas","1924",0
"Light rigid trucks","Tas","1925",0
"Light rigid trucks","Tas","1926",0
"Light rigid trucks","Tas","1927",0
"Light rigid trucks","Tas","1928",0
"Light rigid trucks","Tas","1929",0
"Light rigid trucks","Tas","1930",0
"Light rigid trucks","Tas","1931",0
"Light rigid trucks","Tas","1932",0
"Light rigid trucks","Tas","1933",0
"Light rigid trucks","Tas","1934",0
"Light rigid trucks","Tas","1935",0
"Light rigid trucks","Tas","1936",0
"Light rigid trucks","Tas","1937",0
"Light rigid trucks","Tas","1938",0
"Light rigid trucks","Tas","1939",0
"Light rigid trucks","Tas","1940",0
"Light rigid trucks","Tas","1941",0
"Light rigid trucks","Tas","1942",0
"Light rigid trucks","Tas","1943",0
"Light rigid trucks","Tas","1944",0
"Light rigid trucks","Tas","1945",0
"Light rigid trucks","Tas","1946",0
"Light rigid trucks","Tas","1947",0
"Light rigid trucks","Tas","1948",0
"Light rigid trucks","Tas","1949",0
"Light rigid trucks","Tas","1950",0
"Light rigid trucks","Tas","1951",0
"Light rigid trucks","Tas","1952",3
"Light rigid trucks","Tas","1953",0
"Light rigid trucks","Tas","1954",0
"Light rigid trucks","Tas","1955",0
"Light rigid trucks","Tas","1956",0
"Light rigid trucks","Tas","1957",0
"Light rigid trucks","Tas","1958",0
"Light rigid trucks","Tas","1959",0
"Light rigid trucks","Tas","1960",0
"Light rigid trucks","Tas","1961",0
"Light rigid trucks","Tas","1962",3
"Light rigid trucks","Tas","1963",3
"Light rigid trucks","Tas","1964",0
"Light rigid trucks","Tas","1965",3
"Light rigid trucks","Tas","1966",3
"Light rigid trucks","Tas","1967",3
"Light rigid trucks","Tas","1968",0
"Light rigid trucks","Tas","1969",0
"Light rigid trucks","Tas","1970",0
"Light rigid trucks","Tas","1971",0
"Light rigid trucks","Tas","1972",4
"Light rigid trucks","Tas","1973",4
"Light rigid trucks","Tas","1974",12
"Light rigid trucks","Tas","1975",8
"Light rigid trucks","Tas","1976",12
"Light rigid trucks","Tas","1977",16
"Light rigid trucks","Tas","1978",19
"Light rigid trucks","Tas","1979",14
"Light rigid trucks","Tas","1980",18
"Light rigid trucks","Tas","1981",14
"Light rigid trucks","Tas","1982",6
"Light rigid trucks","Tas","1983",14
"Light rigid trucks","Tas","1984",14
"Light rigid trucks","Tas","1985",30
"Light rigid trucks","Tas","1986",25
"Light rigid trucks","Tas","1987",27
"Light rigid trucks","Tas","1988",45
"Light rigid trucks","Tas","1989",52
"Light rigid trucks","Tas","1990",44
"Light rigid trucks","Tas","1991",36
"Light rigid trucks","Tas","1992",22
"Light rigid trucks","Tas","1993",38
"Light rigid trucks","Tas","1994",48
"Light rigid trucks","Tas","1995",27
"Light rigid trucks","Tas","1996",40
"Light rigid trucks","Tas","1997",29
"Light rigid trucks","Tas","1998",59
"Light rigid trucks","Tas","1999",73
"Light rigid trucks","Tas","2000",46
"Light rigid trucks","Tas","2001",76
"Light rigid trucks","Tas","2002",167
"Light rigid trucks","Tas","2003",96
"Light rigid trucks","Tas","2004",145
"Light rigid trucks","Tas","2005",199
"Light rigid trucks","Tas","2006",117
"Light rigid trucks","Tas","2007",126
"Light rigid trucks","Tas","2008",195
"Light rigid trucks","Tas","2009",102
"Light rigid trucks","Tas","2010",163
"Light rigid trucks","Tas","2011",112
"Light rigid trucks","Tas","2012",92
"Light rigid trucks","Tas","2013",143
"Light rigid trucks","Tas","2014",174
"Light rigid trucks","Tas","2015",190
"Light rigid trucks","Tas","2016",186
"Light rigid trucks","Tas","2017",190
"Light rigid trucks","Tas","2018",209
"Light rigid trucks","Tas","2019",181
"Light rigid trucks","Tas","2020",200
"Light rigid trucks","Tas","2021",340
"Light rigid trucks","Tas","2022",544
"Light rigid trucks","Tas","2023",639
"Light rigid trucks","Tas","2024",346
"Light rigid trucks","Tas","2025",0
"Light rigid trucks","Tas","Not stated",0
"Light rigid trucks","NT","1901",0
"Light rigid trucks","NT","1902",0
"Light rigid trucks","NT","1903",0
"Light rigid trucks","NT","1904",0
"Light rigid trucks","NT","1905",0
"Light rigid trucks","NT","1906",0
"Light rigid trucks","NT","1907",0
"Light rigid trucks","NT","1908",0
"Light rigid trucks","NT","1909",0
"Light rigid trucks","NT","1910",0
"Light rigid trucks","NT","1911",0
"Light rigid trucks","NT","1912",0
"Light rigid trucks","NT","1913",0
"Light rigid trucks","NT","1914",0
"Light rigid trucks","NT","1915",0
"Light rigid trucks","NT","1916",0
"Light rigid trucks","NT","1917",0
"Light rigid trucks","NT","1918",0
"Light rigid trucks","NT","1919",0
"Light rigid trucks","NT","1920",0
"Light rigid trucks","NT","1921",0
"Light rigid trucks","NT","1922",0
"Light rigid trucks","NT","1923",0
"Light rigid trucks","NT","1924",0
"Light rigid trucks","NT","1925",0
"Light rigid trucks","NT","1926",0
"Light rigid trucks","NT","1927",0
"Light rigid trucks","NT","1928",0
"Light rigid trucks","NT","1929",0
"Light rigid trucks","NT","1930",0
"Light rigid trucks","NT","1931",0
"Light rigid trucks","NT","1932",0
"Light rigid trucks","NT","1933",0
"Light rigid trucks","NT","1934",0
"Light rigid trucks","NT","1935",0
"Light rigid trucks","NT","1936",0
"Light rigid trucks","NT","1937",0
"Light rigid trucks","NT","1938",0
"Light rigid trucks","NT","1939",0
"Light rigid trucks","NT","1940",0
"Light rigid trucks","NT","1941",0
"Light rigid trucks","NT","1942",0
"Light rigid trucks","NT","1943",0
"Light rigid trucks","NT","1944",0
"Light rigid trucks","NT","1945",0
"Light rigid trucks","NT","1946",0
"Light rigid trucks","NT","1947",0
"Light rigid trucks","NT","1948",0
"Light rigid trucks","NT","1949",3
"Light rigid trucks","NT","1950",0
"Light rigid trucks","NT","1951",0
"Light rigid trucks","NT","1952",0
"Light rigid trucks","NT","1953",0
"Light rigid trucks","NT","1954",0
"Light rigid trucks","NT","1955",0
"Light rigid trucks","NT","1956",0
"Light rigid trucks","NT","1957",0
"Light rigid trucks","NT","1958",0
"Light rigid trucks","NT","1959",0
"Light rigid trucks","NT","1960",0
"Light rigid trucks","NT","1961",0
"Light rigid trucks","NT","1962",0
"Light rigid trucks","NT","1963",0
"Light rigid trucks","NT","1964",0
"Light rigid trucks","NT","1965",0
"Light rigid trucks","NT","1966",0
"Light rigid trucks","NT","1967",0
"Light rigid trucks","NT","1968",0
"Light rigid trucks","NT","1969",0
"Light rigid trucks","NT","1970",0
"Light rigid trucks","NT","1971",0
"Light rigid trucks","NT","1972",0
"Light rigid trucks","NT","1973",0
"Light rigid trucks","NT","1974",0
"Light rigid trucks","NT","1975",0
"Light rigid trucks","NT","1976",0
"Light rigid trucks","NT","1977",3
"Light rigid trucks","NT","1978",0
"Light rigid trucks","NT","1979",3
"Light rigid trucks","NT","1980",3
"Light rigid trucks","NT","1981",0
"Light rigid trucks","NT","1982",3
"Light rigid trucks","NT","1983",3
"Light rigid trucks","NT","1984",0
"Light rigid trucks","NT","1985",6
"Light rigid trucks","NT","1986",3
"Light rigid trucks","NT","1987",3
"Light rigid trucks","NT","1988",6
"Light rigid trucks","NT","1989",5
"Light rigid trucks","NT","1990",6
"Light rigid trucks","NT","1991",7
"Light rigid trucks","NT","1992",4
"Light rigid trucks","NT","1993",9
"Light rigid trucks","NT","1994",10
"Light rigid trucks","NT","1995",15
"Light rigid trucks","NT","1996",5
"Light rigid trucks","NT","1997",11
"Light rigid trucks","NT","1998",23
"Light rigid trucks","NT","1999",19
"Light rigid trucks","NT","2000",22
"Light rigid trucks","NT","2001",28
"Light rigid trucks","NT","2002",55
"Light rigid trucks","NT","2003",37
"Light rigid trucks","NT","2004",50
"Light rigid trucks","NT","2005",71
"Light rigid trucks","NT","2006",55
"Light rigid trucks","NT","2007",61
"Light rigid trucks","NT","2008",56
"Light rigid trucks","NT","2009",48
"Light rigid trucks","NT","2010",72
"Light rigid trucks","NT","2011",43
"Light rigid trucks","NT","2012",66
"Light rigid trucks","NT","2013",51
"Light rigid trucks","NT","2014",63
"Light rigid trucks","NT","2015",69
"Light rigid trucks","NT","2016",52
"Light rigid trucks","NT","2017",68
"Light rigid trucks","NT","2018",99
"Light rigid trucks","NT","2019",78
"Light rigid trucks","NT","2020",65
"Light rigid trucks","NT","2021",159
"Light rigid trucks","NT","2022",303
"Light rigid trucks","NT","2023",530
"Light rigid trucks","NT","2024",338
"Light rigid trucks","NT","2025",3
"Light rigid trucks","NT","Not stated",0
"Light rigid trucks","ACT","1901",0
"Light rigid trucks","ACT","1902",0
"Light rigid trucks","ACT","1903",0
"Light rigid trucks","ACT","1904",0
"Light rigid trucks","ACT","1905",0
"Light rigid trucks","ACT","1906",0
"Light rigid trucks","ACT","1907",0
"Light rigid trucks","ACT","1908",0
"Light rigid trucks","ACT","1909",0
"Light rigid trucks","ACT","1910",0
"Light rigid trucks","ACT","1911",0
"Light rigid trucks","ACT","1912",0
"Light rigid trucks","ACT","1913",0
"Light rigid trucks","ACT","1914",0
"Light rigid trucks","ACT","1915",0
"Light rigid trucks","ACT","1916",0
"Light rigid trucks","ACT","1917",0
"Light rigid trucks","ACT","1918",0
"Light rigid trucks","ACT","1919",0
"Light rigid trucks","ACT","1920",0
"Light rigid trucks","ACT","1921",0
"Light rigid trucks","ACT","1922",0
"Light rigid trucks","ACT","1923",0
"Light rigid trucks","ACT","1924",0
"Light rigid trucks","ACT","1925",0
"Light rigid trucks","ACT","1926",0
"Light rigid trucks","ACT","1927",0
"Light rigid trucks","ACT","1928",0
"Light rigid trucks","ACT","1929",0
"Light rigid trucks","ACT","1930",0
"Light rigid trucks","ACT","1931",0
"Light rigid trucks","ACT","1932",0
"Light rigid trucks","ACT","1933",0
"Light rigid trucks","ACT","1934",0
"Light rigid trucks","ACT","1935",0
"Light rigid trucks","ACT","1936",0
"Light rigid trucks","ACT","1937",0
"Light rigid trucks","ACT","1938",0
"Light rigid trucks","ACT","1939",0
"Light rigid trucks","ACT","1940",0
"Light rigid trucks","ACT","1941",0
"Light rigid trucks","ACT","1942",0
"Light rigid trucks","ACT","1943",0
"Light rigid trucks","ACT","1944",0
"Light rigid trucks","ACT","1945",0
"Light rigid trucks","ACT","1946",0
"Light rigid trucks","ACT","1947",0
"Light rigid trucks","ACT","1948",0
"Light rigid trucks","ACT","1949",0
"Light rigid trucks","ACT","1950",0
"Light rigid trucks","ACT","1951",0
"Light rigid trucks","ACT","1952",0
"Light rigid trucks","ACT","1953",0
"Light rigid trucks","ACT","1954",0
"Light rigid trucks","ACT","1955",0
"Light rigid trucks","ACT","1956",0
"Light rigid trucks","ACT","1957",0
"Light rigid trucks","ACT","1958",0
"Light rigid trucks","ACT","1959",0
"Light rigid trucks","ACT","1960",0
"Light rigid trucks","ACT","1961",0
"Light rigid trucks","ACT","1962",0
"Light rigid trucks","ACT","1963",0
"Light rigid trucks","ACT","1964",0
"Light rigid trucks","ACT","1965",0
"Light rigid trucks","ACT","1966",0
"Light rigid trucks","ACT","1967",0
"Light rigid trucks","ACT","1968",0
"Light rigid trucks","ACT","1969",0
"Light rigid trucks","ACT","1970",0
"Light rigid trucks","ACT","1971",0
"Light rigid trucks","ACT","1972",0
"Light rigid trucks","ACT","1973",0
"Light rigid trucks","ACT","1974",0
"Light rigid trucks","ACT","1975",0
"Light rigid trucks","ACT","1976",0
"Light rigid trucks","ACT","1977",0
"Light rigid trucks","ACT","1978",0
"Light rigid trucks","ACT","1979",0
"Light rigid trucks","ACT","1980",3
"Light rigid trucks","ACT","1981",0
"Light rigid trucks","ACT","1982",0
"Light rigid trucks","ACT","1983",0
"Light rigid trucks","ACT","1984",0
"Light rigid trucks","ACT","1985",0
"Light rigid trucks","ACT","1986",3
"Light rigid trucks","ACT","1987",3
"Light rigid trucks","ACT","1988",6
"Light rigid trucks","ACT","1989",6
"Light rigid trucks","ACT","1990",5
"Light rigid trucks","ACT","1991",3
"Light rigid trucks","ACT","1992",4
"Light rigid trucks","ACT","1993",7
"Light rigid trucks","ACT","1994",9
"Light rigid trucks","ACT","1995",6
"Light rigid trucks","ACT","1996",9
"Light rigid trucks","ACT","1997",5
"Light rigid trucks","ACT","1998",11
"Light rigid trucks","ACT","1999",20
"Light rigid trucks","ACT","2000",15
"Light rigid trucks","ACT","2001",18
"Light rigid trucks","ACT","2002",23
"Light rigid trucks","ACT","2003",27
"Light rigid trucks","ACT","2004",42
"Light rigid trucks","ACT","2005",36
"Light rigid trucks","ACT","2006",33
"Light rigid trucks","ACT","2007",51
"Light rigid trucks","ACT","2008",54
"Light rigid trucks","ACT","2009",32
"Light rigid trucks","ACT","2010",58
"Light rigid trucks","ACT","2011",34
"Light rigid trucks","ACT","2012",43
"Light rigid trucks","ACT","2013",61
"Light rigid trucks","ACT","2014",51
"Light rigid trucks","ACT","2015",101
"Light rigid trucks","ACT","2016",88
"Light rigid trucks","ACT","2017",118
"Light rigid trucks","ACT","2018",154
"Light rigid trucks","ACT","2019",124
"Light rigid trucks","ACT","2020",157
"Light rigid trucks","ACT","2021",202
"Light rigid trucks","ACT","2022",231
"Light rigid trucks","ACT","2023",239
"Light rigid trucks","ACT","2024",120
"Light rigid trucks","ACT","2025",3
"Light rigid trucks","ACT","Not stated",0
"Heavy rigid trucks","NSW","1901",0
"Heavy rigid trucks","NSW","1902",0
"Heavy rigid trucks","NSW","1903",0
"Heavy rigid trucks","NSW","1904",0
"Heavy rigid trucks","NSW","1905",0
"Heavy rigid trucks","NSW","1906",0
"Heavy rigid trucks","NSW","1907",0
"Heavy rigid trucks","NSW","1908",0
"Heavy rigid trucks","NSW","1909",0
"Heavy rigid trucks","NSW","1910",0
"Heavy rigid trucks","NSW","1911",0
"Heavy rigid trucks","NSW","1912",0
"Heavy rigid trucks","NSW","1913",0
"Heavy rigid trucks","NSW","1914",0
"Heavy rigid trucks","NSW","1915",0
"Heavy rigid trucks","NSW","1916",0
"Heavy rigid trucks","NSW","1917",0
"Heavy rigid trucks","NSW","1918",0
"Heavy rigid trucks","NSW","1919",0
"Heavy rigid trucks","NSW","1920",0
"Heavy rigid trucks","NSW","1921",0
"Heavy rigid trucks","NSW","1922",0
"Heavy rigid trucks","NSW","1923",0
"Heavy rigid trucks","NSW","1924",0
"Heavy rigid trucks","NSW","1925",0
"Heavy rigid trucks","NSW","1926",0
"Heavy rigid trucks","NSW","1927",0
"Heavy rigid trucks","NSW","1928",0
"Heavy rigid trucks","NSW","1929",0
"Heavy rigid trucks","NSW","1930",0
"Heavy rigid trucks","NSW","1931",0
"Heavy rigid trucks","NSW","1932",0
"Heavy rigid trucks","NSW","1933",0
"Heavy rigid trucks","NSW","1934",3
"Heavy rigid trucks","NSW","1935",0
"Heavy rigid trucks","NSW","1936",0
"Heavy rigid trucks","NSW","1937",0
"Heavy rigid trucks","NSW","1938",0
"Heavy rigid trucks","NSW","1939",0
"Heavy rigid trucks","NSW","1940",0
"Heavy rigid trucks","NSW","1941",0
"Heavy rigid trucks","NSW","1942",0
"Heavy rigid trucks","NSW","1943",0
"Heavy rigid trucks","NSW","1944",0
"Heavy rigid trucks","NSW","1945",0
"Heavy rigid trucks","NSW","1946",0
"Heavy rigid trucks","NSW","1947",0
"Heavy rigid trucks","NSW","1948",0
"Heavy rigid trucks","NSW","1949",0
"Heavy rigid trucks","NSW","1950",0
"Heavy rigid trucks","NSW","1951",0
"Heavy rigid trucks","NSW","1952",0
"Heavy rigid trucks","NSW","1953",0
