state,year,quarter,population
Western Australia,2007,Q1,2093633
Tasmania,2007,Q1,492625
Northern Territory,2007,Q1,212372
Australian Capital Territory,2007,Q1,340544
New South Wales,2007,Q2,6834156
Victoria,2007,Q2,5153522
Queensland,2007,Q2,4111018
South Australia,2007,Q2,1570619
Western Australia,2007,Q2,2106139
Tasmania,2007,Q2,493262
Northern Territory,2007,Q2,213748
Australian Capital Territory,2007,Q2,342644
New South Wales,2007,Q3,6859736
Victoria,2007,Q3,5178515
Queensland,2007,Q3,4134958
South Australia,2007,Q3,1574537
Western Australia,2007,Q3,2120776
Tasmania,2007,Q3,494547
Northern Territory,2007,Q3,215180
Australian Capital Territory,2007,Q3,343341
New South Wales,2007,Q4,6883852
Victoria,2007,Q4,5199503
Queensland,2007,Q4,4159990
South Australia,2007,Q4,1578489
Western Australia,2007,Q4,2135006
Tasmania,2007,Q4,495858
Northern Territory,2007,Q4,216618
Australian Capital Territory,2007,Q4,344176
New South Wales,2008,Q1,6919907
Victoria,2008,Q1,5233000
Queensland,2008,Q1,4191479
South Australia,2008,Q1,1584408
Western Australia,2008,Q1,2155552
Tasmania,2008,Q1,497552
Northern Territory,2008,Q1,217912
Australian Capital Territory,2008,Q1,346477
New South Wales,2008,Q2,6943461
Victoria,2008,Q2,5256375
Queensland,2008,Q2,4219505
South Australia,2008,Q2,1588665
Western Australia,2008,Q2,2171700
Tasmania,2008,Q2,498568
Northern Territory,2008,Q2,219874
Australian Capital Territory,2008,Q2,348368
New South Wales,2008,Q3,6972395
Victoria,2008,Q3,5286549
Queensland,2008,Q3,4247991
South Australia,2008,Q3,1593725
Western Australia,2008,Q3,2191582
Tasmania,2008,Q3,500062
Northern Territory,2008,Q3,221464
Australian Capital Territory,2008,Q3,349543
New South Wales,2008,Q4,7001782
Victoria,2008,Q4,5313285
Queensland,2008,Q4,4275551
South Australia,2008,Q4,1597880
Western Australia,2008,Q4,2208928
Tasmania,2008,Q4,501774
Northern Territory,2008,Q4,222526
Australian Capital Territory,2008,Q4,351101
New South Wales,2009,Q1,7032423
Victoria,2009,Q1,5347672
Queensland,2009,Q1,4305605
South Australia,2009,Q1,1604142
Western Australia,2009,Q1,2228317
Tasmania,2009,Q1,503431
Northern Territory,2009,Q1,223922
Australian Capital Territory,2009,Q1,353351
New South Wales,2009,Q2,7053755
Victoria,2009,Q2,5371934
Queensland,2009,Q2,4328771
South Australia,2009,Q2,1608902
Western Australia,2009,Q2,2240250
Tasmania,2009,Q2,504353
Northern Territory,2009,Q2,226027
Australian Capital Territory,2009,Q2,354785
New South Wales,2009,Q3,7079175
Victoria,2009,Q3,5398874
Queensland,2009,Q3,4350135
South Australia,2009,Q3,1614593
Western Australia,2009,Q3,2253355
Tasmania,2009,Q3,505468
Northern Territory,2009,Q3,227255
Australian Capital Territory,2009,Q3,356310
New South Wales,2009,Q4,7101504
Victoria,2009,Q4,5419249
Queensland,2009,Q4,4367454
South Australia,2009,Q4,1618578
Western Australia,2009,Q4,2263747
Tasmania,2009,Q4,506461
Northern Territory,2009,Q4,227783
Australian Capital Territory,2009,Q4,357859
New South Wales,2010,Q1,7128356
Victoria,2010,Q1,5445172
Queensland,2010,Q1,4387801
South Australia,2010,Q1,1624033
Western Australia,2010,Q1,2278589
Tasmania,2010,Q1,508182
Northern Territory,2010,Q1,228600
Australian Capital Territory,2010,Q1,360361
New South Wales,2010,Q2,7144292
Victoria,2010,Q2,5461101
Queensland,2010,Q2,4404744
South Australia,2010,Q2,1627322
Western Australia,2010,Q2,2290845
Tasmania,2010,Q2,508847
Northern Territory,2010,Q2,229778
Australian Capital Territory,2010,Q2,361766
New South Wales,2010,Q3,7162726
Victoria,2010,Q3,5478710
Queensland,2010,Q3,4421470
South Australia,2010,Q3,1630230
Western Australia,2010,Q3,2305415
Tasmania,2010,Q3,509481
Northern Territory,2010,Q3,230460
Australian Capital Territory,2010,Q3,362838
New South Wales,2010,Q4,7179891
Victoria,2010,Q4,5495711
Queensland,2010,Q4,4436882
South Australia,2010,Q4,1632482
Western Australia,2010,Q4,2319063
Tasmania,2010,Q4,510219
Northern Territory,2010,Q4,230299
Australian Capital Territory,2010,Q4,364833
New South Wales,2011,Q1,7204737
Victoria,2011,Q1,5520378
Queensland,2011,Q1,4457971
South Australia,2011,Q1,1636759
Western Australia,2011,Q1,2337611
Tasmania,2011,Q1,511248
Northern Territory,2011,Q1,230224
Australian Capital Territory,2011,Q1,366737
New South Wales,2011,Q2,7218529
Victoria,2011,Q2,5537817
Queensland,2011,Q2,4476778
South Australia,2011,Q2,1639614
Western Australia,2011,Q2,2353409
Tasmania,2011,Q2,511483
Northern Territory,2011,Q2,231292
Australian Capital Territory,2011,Q2,367985
New South Wales,2011,Q3,7239528
Victoria,2011,Q3,5564662
Queensland,2011,Q3,4498104
South Australia,2011,Q3,1643402
Western Australia,2011,Q3,2369612
Tasmania,2011,Q3,511880
Northern Territory,2011,Q3,232581
Australian Capital Territory,2011,Q3,369888
New South Wales,2011,Q4,7258722
Victoria,2011,Q4,5591818
Queensland,2011,Q4,4518649
South Australia,2011,Q4,1647183
Western Australia,2011,Q4,2385947
Tasmania,2011,Q4,511739
Northern Territory,2011,Q4,232952
Australian Capital Territory,2011,Q4,372070
New South Wales,2012,Q1,7284982
Victoria,2012,Q1,5625354
Queensland,2012,Q1,4545613
South Australia,2012,Q1,1652716
Western Australia,2012,Q1,2408108
Tasmania,2012,Q1,511993
Northern Territory,2012,Q1,234275
Australian Capital Territory,2012,Q1,374853
New South Wales,2012,Q2,7304244
Victoria,2012,Q2,5651091
Queensland,2012,Q2,4568687
South Australia,2012,Q2,1656725
Western Australia,2012,Q2,2425507
Tasmania,2012,Q2,511724
Northern Territory,2012,Q2,235915
Australian Capital Territory,2012,Q2,376539
New South Wales,2012,Q3,7327614
Victoria,2012,Q3,5680420
Queensland,2012,Q3,4592100
South Australia,2012,Q3,1660198
Western Australia,2012,Q3,2442876
Tasmania,2012,Q3,511582
Northern Territory,2012,Q3,237517
Australian Capital Territory,2012,Q3,378586
New South Wales,2012,Q4,7353189
Victoria,2012,Q4,5709586
Queensland,2012,Q4,4611304
South Australia,2012,Q4,1663082
Western Australia,2012,Q4,2457489
Tasmania,2012,Q4,511813
Northern Territory,2012,Q4,238728
Australian Capital Territory,2012,Q4,379812
New South Wales,2013,Q1,7382957
Victoria,2013,Q1,5744915
Queensland,2013,Q1,4634430
South Australia,2013,Q1,1668056
Western Australia,2013,Q1,2475242
Tasmania,2013,Q1,512240
Northern Territory,2013,Q1,240107
Australian Capital Territory,2013,Q1,382082
New South Wales,2013,Q2,7404032
Victoria,2013,Q2,5772669
Queensland,2013,Q2,4652824
South Australia,2013,Q2,1671488
Western Australia,2013,Q2,2486944
Tasmania,2013,Q2,512231
Northern Territory,2013,Q2,241722
Australian Capital Territory,2013,Q2,383257
New South Wales,2013,Q3,7430904
Victoria,2013,Q3,5804499
Queensland,2013,Q3,4670784
South Australia,2013,Q3,1675313
Western Australia,2013,Q3,2496285
Tasmania,2013,Q3,512510
Northern Territory,2013,Q3,242301
Australian Capital Territory,2013,Q3,384690
New South Wales,2013,Q4,7454938
Victoria,2013,Q4,5832585
Queensland,2013,Q4,4685439
South Australia,2013,Q4,1678052
Western Australia,2013,Q4,2502188
Tasmania,2013,Q4,513015
Northern Territory,2013,Q4,242304
Australian Capital Territory,2013,Q4,386318
New South Wales,2014,Q1,7487834
Victoria,2014,Q1,5869511
Queensland,2014,Q1,4705187
South Australia,2014,Q1,1683544
Western Australia,2014,Q1,2512556
Tasmania,2014,Q1,513681
Northern Territory,2014,Q1,242790
Australian Capital Territory,2014,Q1,388190
New South Wales,2014,Q2,7508353
Victoria,2014,Q2,5894917
Queensland,2014,Q2,4719653
South Australia,2014,Q2,1686945
Western Australia,2014,Q2,2517608
Tasmania,2014,Q2,513621
Northern Territory,2014,Q2,242894
Australian Capital Territory,2014,Q2,388799
New South Wales,2014,Q3,7536277
Victoria,2014,Q3,5927199
Queensland,2014,Q3,4734613
South Australia,2014,Q3,1690133
Western Australia,2014,Q3,2524042
Tasmania,2014,Q3,513898
Northern Territory,2014,Q3,243201
Australian Capital Territory,2014,Q3,390654
New South Wales,2014,Q4,7562171
Victoria,2014,Q4,5957512
Queensland,2014,Q4,4747263
South Australia,2014,Q4,1693107
Western Australia,2014,Q4,2528619
Tasmania,2014,Q4,514040
Northern Territory,2014,Q4,242753
Australian Capital Territory,2014,Q4,391981
New South Wales,2015,Q1,7595731
Victoria,2015,Q1,5995205
Queensland,2015,Q1,4764439
South Australia,2015,Q1,1698433
Western Australia,2015,Q1,2536604
Tasmania,2015,Q1,514812
Northern Territory,2015,Q1,243059
Australian Capital Territory,2015,Q1,394491
New South Wales,2015,Q2,7616168
Victoria,2015,Q2,6022322
Queensland,2015,Q2,4777692
South Australia,2015,Q2,1700668
Western Australia,2015,Q2,2540672
Tasmania,2015,Q2,515117
Northern Territory,2015,Q2,244692
Australian Capital Territory,2015,Q2,395813
New South Wales,2015,Q3,7645324
Victoria,2015,Q3,6057558
Queensland,2015,Q3,4791520
South Australia,2015,Q3,1703703
Western Australia,2015,Q3,2545509
Tasmania,2015,Q3,515697
Northern Territory,2015,Q3,244570
Australian Capital Territory,2015,Q3,397540
New South Wales,2015,Q4,7671401
Victoria,2015,Q4,6093049
Queensland,2015,Q4,4804933
South Australia,2015,Q4,1705937
Western Australia,2015,Q4,2547745
Tasmania,2015,Q4,515694
Northern Territory,2015,Q4,244090
Australian Capital Territory,2015,Q4,398874
New South Wales,2016,Q1,7707412
Victoria,2016,Q1,6138627
Queensland,2016,Q1,4826538
South Australia,2016,Q1,1710334
Western Australia,2016,Q1,2554506
Tasmania,2016,Q1,516861
Northern Territory,2016,Q1,244627
Australian Capital Territory,2016,Q1,401673
New South Wales,2016,Q2,7732858
Victoria,2016,Q2,6173172
Queensland,2016,Q2,4845152
South Australia,2016,Q2,1712843
Western Australia,2016,Q2,2555978
Tasmania,2016,Q2,517514
Northern Territory,2016,Q2,245678
Australian Capital Territory,2016,Q2,403104
New South Wales,2016,Q3,7767915
Victoria,2016,Q3,6205852
Queensland,2016,Q3,4865303
South Australia,2016,Q3,1717275
Western Australia,2016,Q3,2564492
Tasmania,2016,Q3,519606
Northern Territory,2016,Q3,246443
Australian Capital Territory,2016,Q3,406040
New South Wales,2016,Q4,7795625
Victoria,2016,Q4,6235781
Queensland,2016,Q4,4882939
South Australia,2016,Q4,1719580
Western Australia,2016,Q4,2569606
Tasmania,2016,Q4,521981
Northern Territory,2016,Q4,246065
Australian Capital Territory,2016,Q4,408878
New South Wales,2017,Q1,7833463
Victoria,2017,Q1,6278555
Queensland,2017,Q1,4906370
South Australia,2017,Q1,1725253
Western Australia,2017,Q1,2579276
Tasmania,2017,Q1,524574
Northern Territory,2017,Q1,246231
Australian Capital Territory,2017,Q1,413017
New South Wales,2017,Q2,7855316
Victoria,2017,Q2,6302608
Queensland,2017,Q2,4926380
South Australia,2017,Q2,1728673
Western Australia,2017,Q2,2585720
Tasmania,2017,Q2,526762
Northern Territory,2017,Q2,247412
Australian Capital Territory,2017,Q2,415046
New South Wales,2017,Q3,7884752
Victoria,2017,Q3,6333514
Queensland,2017,Q3,4945129
South Australia,2017,Q3,1733055
Western Australia,2017,Q3,2594138
Tasmania,2017,Q3,529350
Northern Territory,2017,Q3,247514
Australian Capital Territory,2017,Q3,417964
New South Wales,2017,Q4,7900946
Victoria,2017,Q4,6358210
Queensland,2017,Q4,4960965
South Australia,2017,Q4,1735654
Western Australia,2017,Q4,2599928
Tasmania,2017,Q4,531561
Northern Territory,2017,Q4,246862
Australian Capital Territory,2017,Q4,420226
New South Wales,2018,Q1,7934688
Victoria,2018,Q1,6398586
Queensland,2018,Q1,4985955
South Australia,2018,Q1,1742255
Western Australia,2018,Q1,2610320
Tasmania,2018,Q1,534754
Northern Territory,2018,Q1,246674
Australian Capital Territory,2018,Q1,423810
New South Wales,2018,Q2,7954476
Victoria,2018,Q2,6423038
Queensland,2018,Q2,5006623
South Australia,2018,Q2,1746137
Western Australia,2018,Q2,2617792
Tasmania,2018,Q2,537291
Northern Territory,2018,Q2,247095
Australian Capital Territory,2018,Q2,426081
New South Wales,2018,Q3,7984525
Victoria,2018,Q3,6454976
Queensland,2018,Q3,5027543
South Australia,2018,Q3,1751849
Western Australia,2018,Q3,2628121
Tasmania,2018,Q3,540241
Northern Territory,2018,Q3,247006
Australian Capital Territory,2018,Q3,428417
New South Wales,2018,Q4,8003564
Victoria,2018,Q4,6479695
Queensland,2018,Q4,5046434
South Australia,2018,Q4,1755715
Western Australia,2018,Q4,2636404
Tasmania,2018,Q4,542927
Northern Territory,2018,Q4,245920
Australian Capital Territory,2018,Q4,430758
New South Wales,2019,Q1,8032991
Victoria,2019,Q1,6518716
Queensland,2019,Q1,5070306
South Australia,2019,Q1,1762889
Western Australia,2019,Q1,2649641
Tasmania,2019,Q1,545803
Northern Territory,2019,Q1,246016
Australian Capital Territory,2019,Q1,433801
New South Wales,2019,Q2,8046748
Victoria,2019,Q2,6537305
Queensland,2019,Q2,5088847
South Australia,2019,Q2,1767395
Western Australia,2019,Q2,2659625
Tasmania,2019,Q2,547841
Northern Territory,2019,Q2,246559
Australian Capital Territory,2019,Q2,435730
New South Wales,2019,Q3,8071350
Victoria,2019,Q3,6567898
Queensland,2019,Q3,5110540
South Australia,2019,Q3,1774006
Western Australia,2019,Q3,2674246
Tasmania,2019,Q3,549947
Northern Territory,2019,Q3,246677
Australian Capital Territory,2019,Q3,438633
New South Wales,2019,Q4,8088361
Victoria,2019,Q4,6590050
Queensland,2019,Q4,5129741
South Australia,2019,Q4,1778928
Western Australia,2019,Q4,2688799
Tasmania,2019,Q4,553340
Northern Territory,2019,Q4,246213
Australian Capital Territory,2019,Q4,440267
New South Wales,2020,Q1,8112001
Victoria,2020,Q1,6616636
Queensland,2020,Q1,5154305
South Australia,2020,Q1,1787847
Western Australia,2020,Q1,2706350
Tasmania,2020,Q1,555975
Northern Territory,2020,Q1,246969
Australian Capital Territory,2020,Q1,443035
New South Wales,2020,Q2,8110610
Victoria,2020,Q2,6615046
Queensland,2020,Q2,5165613
South Australia,2020,Q2,1790355
Western Australia,2020,Q2,2712912
Tasmania,2020,Q2,557578
Northern Territory,2020,Q2,247428
Australian Capital Territory,2020,Q2,444903
New South Wales,2020,Q3,8098905
Victoria,2020,Q3,6591437
Queensland,2020,Q3,5173071
South Australia,2020,Q3,1792178
Western Australia,2020,Q3,2720001
Tasmania,2020,Q3,559427
Northern Territory,2020,Q3,247755
Australian Capital Territory,2020,Q3,445749
New South Wales,2020,Q4,8094300
Victoria,2020,Q4,6567195
Queensland,2020,Q4,5184329
South Australia,2020,Q4,1794514
Western Australia,2020,Q4,2728187
Tasmania,2020,Q4,561881
Northern Territory,2020,Q4,247819
Australian Capital Territory,2020,Q4,447650
New South Wales,2021,Q1,8093015
Victoria,2021,Q1,6555302
Queensland,2021,Q1,5199548
South Australia,2021,Q1,1798586
Western Australia,2021,Q1,2739105
Tasmania,2021,Q1,564840
Northern Territory,2021,Q1,248185
Australian Capital Territory,2021,Q1,449573
New South Wales,2021,Q2,8097062
Victoria,2021,Q2,6547822
Queensland,2021,Q2,5215814
South Australia,2021,Q2,1802601
Western Australia,2021,Q2,2749365
Tasmania,2021,Q2,567239
Northern Territory,2021,Q2,248151
Australian Capital Territory,2021,Q2,452508
New South Wales,2021,Q3,8096719
Victoria,2021,Q3,6543116
Queensland,2021,Q3,5230029
South Australia,2021,Q3,1803789
Western Australia,2021,Q3,2755583
Tasmania,2021,Q3,567829
Northern Territory,2021,Q3,249465
Australian Capital Territory,2021,Q3,453398
New South Wales,2021,Q4,8117057
Victoria,2021,Q4,6555013
Queensland,2021,Q4,5249672
South Australia,2021,Q4,1807839
Western Australia,2021,Q4,2763240
Tasmania,2021,Q4,569609
Northern Territory,2021,Q4,250500
Australian Capital Territory,2021,Q4,456005
New South Wales,2022,Q1,8153203
Victoria,2022,Q1,6591580
Queensland,2022,Q1,5283479
South Australia,2022,Q1,1818356
Western Australia,2022,Q1,2778421
Tasmania,2022,Q1,571384
Northern Territory,2022,Q1,252107
Australian Capital Territory,2022,Q1,459556
New South Wales,2022,Q2,8182098
Victoria,2022,Q2,6615232
Queensland,2022,Q2,5310905
South Australia,2022,Q2,1824969
Western Australia,2022,Q2,2793934
Tasmania,2022,Q2,572300
Northern Territory,2022,Q2,253100
Australian Capital Territory,2022,Q2,461262
New South Wales,2022,Q3,8223908
Victoria,2022,Q3,6657690
Queensland,2022,Q3,5342317
South Australia,2022,Q3,1833331
Western Australia,2022,Q3,2815907
Tasmania,2022,Q3,572790
Northern Territory,2022,Q3,254404
Australian Capital Territory,2022,Q3,464015
New South Wales,2022,Q4,8264048
Victoria,2022,Q4,6700395
Queensland,2022,Q4,5376678
South Australia,2022,Q4,1840187
Western Australia,2022,Q4,2839523
Tasmania,2022,Q4,573343
Northern Territory,2022,Q4,255294
Australian Capital Territory,2022,Q4,465873
New South Wales,2023,Q1,8317329
Victoria,2023,Q1,6757251
Queensland,2023,Q1,5415786
South Australia,2023,Q1,1851014
Western Australia,2023,Q1,2868478
Tasmania,2023,Q1,573836
Northern Territory,2023,Q1,256466
Australian Capital Territory,2023,Q1,469185
New South Wales,2023,Q2,8356387
Victoria,2023,Q2,6797169
Queensland,2023,Q2,5450235
South Australia,2023,Q2,1857646
Western Australia,2023,Q2,2890936
Tasmania,2023,Q2,573731
Northern Territory,2023,Q2,257508
Australian Capital Territory,2023,Q2,471340
New South Wales,2023,Q3,8406338
Victoria,2023,Q3,6845666
Queensland,2023,Q3,5485974
South Australia,2023,Q3,1865760
Western Australia,2023,Q3,2916222
Tasmania,2023,Q3,573819
Northern Territory,2023,Q3,258543
Australian Capital Territory,2023,Q3,473817
New South Wales,2023,Q4,8437334
Victoria,2023,Q4,6881068
Queensland,2023,Q4,5516476
South Australia,2023,Q4,1870937
Western Australia,2023,Q4,2937647
Tasmania,2023,Q4,574214
Northern Territory,2023,Q4,259143
Australian Capital Territory,2023,Q4,474862
New South Wales,2024,Q1,8477401
Victoria,2024,Q1,6928534
Queensland,2024,Q1,5548832
South Australia,2024,Q1,1878655
Western Australia,2024,Q1,2962651
Tasmania,2024,Q1,574965
Northern Territory,2024,Q1,259967
Australian Capital Territory,2024,Q1,477529
New South Wales,2024,Q2,8492050
Victoria,2024,Q2,6950961
Queensland,2024,Q2,5571890
South Australia,2024,Q2,1882164
Western Australia,2024,Q2,2978147
Tasmania,2024,Q2,574765
Northern Territory,2024,Q2,260884
Australian Capital Territory,2024,Q2,478430
New South Wales,2024,Q3,8518897
Victoria,2024,Q3,6981705
Queensland,2024,Q3,5595403
South Australia,2024,Q3,1886818
Western Australia,2024,Q3,2996143
Tasmania,2024,Q3,575339
Northern Territory,2024,Q3,262006
Australian Capital Territory,2024,Q3,479852
New South Wales,2024,Q4,8536474
Victoria,2024,Q4,7004598
Queensland,2024,Q4,5619962
South Australia,2024,Q4,1890825
Western Australia,2024,Q4,3011063
Tasmania,2024,Q4,576202
Northern Territory,2024,Q4,263238
Australian Capital Territory,2024,Q4,481169
New South Wales,2025,Q1,8572598
Victoria,2025,Q1,7047231
Queensland,2025,Q1,5648685
South Australia,2025,Q1,1898209
Western Australia,2025,Q1,3032661
Tasmania,2025,Q1,577202
Northern Territory,2025,Q1,264899
Australian Capital Territory,2025,Q1,483284
New South Wales,2025,Q2,8590113
Victoria,2025,Q2,7069856
Queensland,2025,Q2,5669915
South Australia,2025,Q2,1901615
Western Australia,2025,Q2,3046209
Tasmania,2025,Q2,577770
Northern Territory,2025,Q2,265895
Australian Capital Territory,2025,Q2,484635
New South Wales,2025,Q3,8622501
Victoria,2025,Q3,7099861
Queensland,2025,Q3,5692660
South Australia,2025,Q3,1907070
Western Australia,2025,Q3,3063821
Tasmania,2025,Q3,578326
Northern Territory,2025,Q3,266967
Australian Capital Territory,2025,Q3,486158
New South Wales,2025,Q4,8641085
Victoria,2025,Q4,7121913
Queensland,2025,Q4,5712124
South Australia,2025,Q4,1910553
Western Australia,2025,Q4,3076528
Tasmania,2025,Q4,579110
Northern Territory,2025,Q4,267478
Australian Capital Territory,2025,Q4,487202
